ANO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;SG_PARTIDO;NM_COLIGACAO;DS_SIT_TOT_TURNO;QT_VOTOS_NOMINAIS;codeIBGE;espectro;pop2020;img;PIB;PIB_agr;PIB_ind;PIB_com;PIB_estatal;micro;meso
2020;1;M;MG;41114;BARBACENA;23;Prefeito;15;CARLOS AUGUSTO SOARES DO NASCIMENTO;CARLOS DU;DEFERIDO;MDB;AVANÇA BARBACENA;ELEITO;12553;3105608;DIREITA;138204;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;3123755;102186;432933;1651008;571027;Barbacena;Campo das Vertentes
2020;1;M;MG;45837;HELIODORA;159;Prefeito;55;ALEX LEOPOLDINO DE LIMA;ALEX DO JAPÃO;DEFERIDO;PSD;QUEM AMA HELIODORA CUIDA COM HONESTIDADE E TRABALHO!;ELEITO;2953;3129202;CENTRO ESQUERDA;6591;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;97124;12195;8427;41038;28649;Santa Rita do Sapucaí;Sul/Sudoeste de Minas
2020;1;M;MG;52477;SÃO JOÃO DA PONTE;255;Prefeito;13;DANILO WAGNER VELOSO;DANILO VELOSO;DEFERIDO;PT;SÃO JOÃO DA PONTE NÃO PODE PARAR;ELEITO;9360;3162401;ESQUERDA;25098;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pt.png;215101;17515;9803;70263;106628;Montes Claros;Norte de Minas
2020;1;M;MG;41289;PAI PEDRO;226;Prefeito;11;JOAQUIM RODRIGUES JUNIOR;JUNIOR DO SACOLÃO;DEFERIDO;PP;COLIGACAO UNIAO E PROGRESSO;ELEITO;1547;3146552;DIREITA;6094;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;49735;5011;2275;11128;29328;Janaúba;Norte de Minas
2020;1;M;MG;50938;RIBEIRÃO VERMELHO;216;Prefeito;45;WELDER MARCELO PEREIRA;WELDER;DEFERIDO;PSDB;HONESTIDADE E RENOVAÇAO, UNIDOS POR RIBEIRAO;ELEITO;1430;3154705;DIREITA;4047;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;120646;2429;6706;76277;21322;Lavras;Campo das Vertentes
2020;1;M;MG;42595;CARAÍ;196;Prefeito;10;HEBER GOMES NEIVA;VAVÁ;DEFERIDO;REPUBLICANOS;CARAÍ CONTINUA AVANÇANDO COM TODOS E PARA TODOS;ELEITO;5832;3113008;CENTRO DIREITA;23780;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/republicanos.png;173874;13741;19391;41734;91771;Araçuaí;Jequitinhonha
2020;1;M;MG;48593;MONTE BELO;195;Prefeito;70;KLEBER ANTÕNIO FERREIRA BONELI;KLEBINHO DO AÇOUGUE;DEFERIDO;AVANTE;MONTE BELO MERECE MAIS;ELEITO;4508;3143005;CENTRO DIREITA;13152;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/avante.png;282850;32606;50129;111651;56439;São Sebastião do Paraíso;Sul/Sudoeste de Minas
2020;1;M;MG;46973;JACUTINGA;13;Prefeito;77;MELQUIADES DE ARAUJO;ARAUJO;DEFERIDO;SOLIDARIEDADE;JACUTINGA ABRAÇANDO O FUTURO ;ELEITO;9237;3134905;CENTRO DIREITA;26264;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/solidariedade.png;811046;19807;197280;343784;123332;Poços de Caldas;Sul/Sudoeste de Minas
2020;1;M;MG;48216;MATOZINHOS;174;Prefeito;15;ZÉLIA ALVES PEZZINI;ZÉLIA PEZZINI;DEFERIDO;MDB;JUNTOS PARA MATOZINHOS NÃO PARAR;ELEITO;12511;3141108;DIREITA;38151;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;1091877;8083;414249;365740;161689;Sete Lagoas;Metropolitana de Belo Horizonte
2020;1;M;MG;51330;SABARÁ;241;Prefeito;40;WANDER JOSÉ GODDARD BORGES;WANDER BORGES;DEFERIDO;PSB;SABARÁ NO RUMO CERTO;ELEITO;32770;3156700;DIREITA;137125;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psb.png;3057928;2270;1024004;1232050;551749;Belo Horizonte;Metropolitana de Belo Horizonte
2020;1;M;MG;40126;DIVISA ALEGRE;213;Prefeito;22;REINILDA PEREIRA DE SOUSA E SILVA;DR. REINILDA;DEFERIDO COM RECURSO;PL;ACREDITO NA FORÇA DO BEM E DA UNIÃO;ELEITO;1883;3122355;DIREITA;6868;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;166154;1763;28252;76963;33639;Salinas;Norte de Minas
2020;1;M;MG;50890;RIACHO DOS MACHADOS;226;Prefeito;22;RICARDO DA SILVA PAZ;RICARDO DE MINGA;DEFERIDO;PL;UM NOVO TEMPO VAI COMEÇAR;ELEITO;3045;3154507;DIREITA;9476;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;326686;48128;161912;58454;43893;Janaúba;Norte de Minas
2020;1;M;MG;42064;FREI LAGONEGRO;135;Prefeito;28;GERALDO FERREIRA DA SILVA;GERALDO SILVA;DEFERIDO;PRTB;FREI LAGONEGRO DE VOLTA AO TRABALHO!;ELEITO;1709;3126950;DIREITA;3487;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/prtb.png;31857;4099;845;7865;18180;Peçanha;Vale do Rio Doce
2020;1;M;MG;46655;ITAOBIM;175;Prefeito;25;FABIANO FERNANDES SILVA RIBEIRO;FABIANO FERNANDES;DEFERIDO;DEM;MUDAR É PRECISO;ELEITO;5115;3133303;DIREITA;21029;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;285106;5556;13754;153117;86807;Pedra Azul;Jequitinhonha
2020;1;M;MG;44210;DELFIM MOREIRA;134;Prefeito;55;EDILBERTO MARQUES DA CRUZ;EDILBERTO;DEFERIDO;PSD;UNIDOS PELO FUTURO;ELEITO;4335;3121100;CENTRO ESQUERDA;8016;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;98105;16530;11690;29790;34971;Itajubá;Sul/Sudoeste de Minas
2020;1;M;MG;49859;PEDRO LEOPOLDO;215;Prefeito;15;ELOISA HELENA CARVALHO DE FREITAS PEREIRA;ELOISA DE TADEU ;DEFERIDO;MDB;TRABALHO, CONHECIMENTO E EXPERIÊNCIA;ELEITO;9968;3149309;DIREITA;64712;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;1532189;12487;400151;632644;295621;Belo Horizonte;Metropolitana de Belo Horizonte
2020;1;M;MG;49158;ONÇA DE PITANGUI;202;Prefeito;14;GUMERCINDO PEREIRA;GUMERCINDO PEREIRA;DEFERIDO;PTB;JUNTOS SOMOS MAIS FORTES;ELEITO;1479;3145802;CENTRO DIREITA;3152;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/ptb.png;57376;17320;7325;12399;18587;Pará de Minas;Metropolitana de Belo Horizonte
2020;1;M;MG;49654;PAULA CÂNDIDO;282;Prefeito;51;DANIEL GOMES CALIXTO;DANIEL;DEFERIDO;PATRIOTA;MUDANÇA, TRANSPARENCIA E COMPETENCIA;ELEITO;3390;3148301;DIREITA;9584;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/patriota.png;100556;14549;7705;33351;39296;Viçosa;Zona da Mata
2020;1;M;MG;43532;CONCEIÇÃO DO RIO VERDE;80;Prefeito;22;PEDRO PAULO;PEDRO DA JÚ;DEFERIDO;PL;CONCEIÇÃO NÃO PODE PARAR;ELEITO;3683;3117702;DIREITA;13684;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;217631;42284;14817;91419;57142;São Lourenço;Sul/Sudoeste de Minas
2020;1;M;MG;46078;IJACI;160;Prefeito;15;FABIANO DA SILVA MORETI;FABIANO MORETI;DEFERIDO;MDB;DE MÃOS DADAS COM A FORÇA DO POVO;ELEITO;2201;3130408;DIREITA;6610;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;308288;7228;137148;68139;35317;Lavras;Campo das Vertentes
2020;1;M;MG;45373;FREI INOCÊNCIO;119;Prefeito;55;JIMMY DUTRA GOULART;JIMMY;DEFERIDO;PSD;RENOVAÇÃO COM RESPONSABILIDADE;ELEITO;2548;3126901;CENTRO ESQUERDA;9664;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;100803;5648;7082;43682;37324;Governador Valadares;Vale do Rio Doce
2020;1;M;MG;40991;BALDIM;264;Prefeito;55;FABRICIO ANDRADE MAGALHÃES;DR. FABRÍCIO;DEFERIDO;PSD;UMA NOVA BALDIM PARA TODOS;ELEITO;1818;3105004;CENTRO ESQUERDA;7803;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;144774;13319;56724;31863;36026;Sete Lagoas;Metropolitana de Belo Horizonte
2020;1;M;MG;44814;ESMERALDAS;108;Prefeito;77;MARCELO NONATO FIGUEIREDO;MARCELO NONATO;DEFERIDO;SOLIDARIEDADE;COM DEUS E COM O POVO PODEMOS MAIS;ELEITO;8422;3124104;CENTRO DIREITA;71551;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/solidariedade.png;739678;24967;62325;312535;292797;Belo Horizonte;Metropolitana de Belo Horizonte
2020;1;M;MG;43370;COMENDADOR GOMES;297;Prefeito;22;JERÔNIMO SANTANA NETO;JERÔNIMO;DEFERIDO;PL;O PROGRESSO NÃO PODE PARAR. 100% NO CAMINHO CERTO;ELEITO;1299;3116902;DIREITA;3120;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;121043;58688;7316;27679;20380;Frutal;Triângulo Mineiro/Alto Paranaíba
2020;1;M;MG;43354;COLUNA;257;Prefeito;70;SADY RIBEIRO DAMAS;SADY;DEFERIDO;AVANTE;PARTIDO ISOLADO;ELEITO;2781;3116803;CENTRO DIREITA;8841;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/avante.png;91605;10622;4483;33862;37190;Guanhães;Vale do Rio Doce
2020;1;M;MG;41530;BOM JESUS DO AMPARO;22;Prefeito;15;PEDRO DOS SANTOS MOREIRA;PEDRADA;DEFERIDO;MDB;BOM JESUS PARA TODOS;ELEITO;2373;3107703;DIREITA;6133;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;149068;8505;5528;88220;28103;Itabira;Metropolitana de Belo Horizonte
2020;1;M;MG;48534;MONTALVÂNIA;342;Prefeito;19;FREDSON LOPES FRANCA;FRED DO RALLY;DEFERIDO;PODE;JUNTOS PODEMOS MUDAR MONTALVANIA;ELEITO;3762;3142700;DIREITA;14747;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pode.png;139119;9260;6719;53949;61880;Januária;Norte de Minas
2020;1;M;MG;47317;NOVA UNIÃO;56;Prefeito;70;AILTON ANTONIO GUIMARÃES ROSA;AILTON;DEFERIDO;AVANTE;UNIÃO PARA AVANÇAR  E CRESCER;ELEITO;2766;3136603;CENTRO DIREITA;5732;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/avante.png;95652;14239;6373;40322;27968;Itabira;Metropolitana de Belo Horizonte
2020;1;M;MG;53759;TIRADENTES;328;Prefeito;15;NILZIO BARBOSA;PINTO;DEFERIDO;MDB;EXPERIENCIA PARA GOVERNAR.CORAÇÃO PARA AJUDAR!;ELEITO;2751;3168804;DIREITA;8072;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;184389;3158;13334;117475;38627;São João Del Rei;Campo das Vertentes
2020;1;M;MG;49115;OLIVEIRA;197;Prefeito;15;CRISTINE LASMAR DE MOURA RESENDE;CRISTINE LASMAR;DEFERIDO;MDB;COMPROMISSO COM OLIVEIRA;ELEITO;13438;3145604;DIREITA;41840;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;902020;36932;140000;463261;175811;Oliveira;Oeste de Minas
2020;1;M;MG;53139;SENADOR FIRMINO;261;Prefeito;43;WILLIAM FERNANDES MUSSI;WILLIAM MUSSI;DEFERIDO;PV; SENADOR PARA TODOS, DE NOVO ;ELEITO;2597;3165701;CENTRO;7858;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pv.png;95739;5838;7448;42159;34706;Ubá;Zona da Mata
2020;1;M;MG;49018;NOVA RESENDE;195;Prefeito;17;JOSE ROBERTO RODRIGUES;ZE ROBERTO;DEFERIDO;PSL;TRANSFORMANDO NOVA RESENDE;ELEITO;6027;3145109;DIREITA;16832;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psl.png;275206;45996;15470;117987;71608;São Sebastião do Paraíso;Sul/Sudoeste de Minas
2020;1;M;MG;43214;CHAPADA DO NORTE;177;Prefeito;55;LEANDRO EVANGELISTA DO SOCORRO;LEANDRO EVANGELISTA;DEFERIDO;PSD;COM A FORÇA DO POVO: OUVIR PARA GOVERNAR;ELEITO;3931;3116100;CENTRO ESQUERDA;15345;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;100315;6567;2972;25817;62175;Capelinha;Jequitinhonha
2020;1;M;MG;40630;ARAÇAÍ;206;Prefeito;25;MARCIO GONZAGA DIAS DE OLIVEIRA;MARCIO KALÚ;DEFERIDO;DEM;JUNTOS POR ARAÇAÍ;ELEITO;803;3103207;DIREITA;2354;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;56987;9076;17063;11199;15539;Sete Lagoas;Metropolitana de Belo Horizonte
2020;1;M;MG;53538;SOBRÁLIA;267;Prefeito;10;ROBERTO MOREIRA RODRIGUES JUNIOR;ROBERTINHO JUNIOR;DEFERIDO;REPUBLICANOS;FORÇA JOVEM A SERVIÇO DE SOBRÁLIA;ELEITO;1658;3167707;CENTRO DIREITA;5514;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/republicanos.png;55776;5290;2487;19304;26642;Governador Valadares;Vale do Rio Doce
2020;1;M;MG;49476;PARAOPEBA;206;Prefeito;55;JOSÉ VALADARES BAHIA;JUCA BAHIA;DEFERIDO;PSD;AVANTE PARAOPEBA;ELEITO;11832;3147402;CENTRO ESQUERDA;24700;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;830190;31846;146204;469805;108944;Sete Lagoas;Metropolitana de Belo Horizonte
2020;1;M;MG;49395;PARACATU;203;Prefeito;25;IGOR PEREIRA DOS SANTOS;IGOR SANTOS;DEFERIDO;DEM;RENOVA PARACATU;ELEITO;14614;3147006;DIREITA;93862;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;4914099;557196;1988302;1606207;454529;Paracatu;Noroeste de Minas
2020;1;M;MG;49891;PEQUERI;42;Prefeito;25;GLAUCO BRAGA FÁVERO;GLAUCO;DEFERIDO;DEM;JUNTOS POR UMA PEQUERI DIFERENTE;ELEITO;1525;3149507;DIREITA;3330;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;48092;3041;7207;15588;19527;Juiz de Fora;Zona da Mata
2020;1;M;MG;42102;GAMELEIRAS;180;Prefeito;51;GILMAR RODRIGUES DE OLIVEIRA;GILMAR RODRIGUES;DEFERIDO;PATRIOTA;GAMELEIRAS NO RUMO CERTO;ELEITO;1997;3127339;DIREITA;5096;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/patriota.png;45234;4149;1347;12278;25744;Janaúba;Norte de Minas
2020;1;M;MG;52752;SÃO MIGUEL DO ANTA;268;Prefeito;15;VICENTE PATRÍCIO DE SOUZA JÚNIOR;JUNINHO SIVIRINO;DEFERIDO;MDB;RENOVAR COM TRABALHO E COMPETÊNCIA;ELEITO;2497;3163805;DIREITA;6944;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;80210;15939;4391;23720;32444;Viçosa;Zona da Mata
2020;1;M;MG;40215;AIMORÉS;5;Prefeito;15;MARCELO MARQUES;MARCELO FUBÁ;DEFERIDO;MDB;PARA AIMORES CONTINUAR CRESCENDO;ELEITO;8207;3101102;DIREITA;25141;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;461541;29339;102015;189959;114027;Aimorés;Vale do Rio Doce
2020;1;M;MG;42250;CAMPO DO MEIO;65;Prefeito;55;SAMUEL AZEVEDO MARINHO;SAMUEL AZEVEDO MARINHO;DEFERIDO COM RECURSO;PSD;MUDANÇA JA!!;ELEITO;3197;3111309;CENTRO ESQUERDA;11651;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;156593;22948;6855;66143;50935;Varginha;Sul/Sudoeste de Minas
2020;1;M;MG;44652;DORES DO TURVO;261;Prefeito;45;VALDIR RIBEIRO DE BARROS;VANDIR VALERIO;DEFERIDO;PSDB;UNIDOS CONTINUAREMOS;ELEITO;2443;3123304;DIREITA;4230;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;50393;10340;2033;15696;19986;Ubá;Zona da Mata
2020;1;M;MG;43990;CÓRREGO NOVO;72;Prefeito;12;EDER FRAGOSO DE SOUZA;EDER FRAGOSO;DEFERIDO;PDT;COMPETENCIA COMPROVADA;ELEITO;1648;3120003;CENTRO ESQUERDA;2728;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pdt.png;32915;3114;2634;9407;16768;Caratinga;Vale do Rio Doce
2020;1;M;MG;44539;DOM SILVÉRIO;12;Prefeito;14;JOSÉ BRÁULIO ALEIXO;ZÉ BRÁULIO;DEFERIDO;PTB;DOM SILVÉRIO PARA TODOS;ELEITO;2137;3122702;CENTRO DIREITA;5232;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/ptb.png;90859;4559;13313;39269;24696;Ponte Nova;Zona da Mata
2020;1;M;MG;40983;LUISBURGO;70;Prefeito;25;OTENIDES DOS SANTOS HOTT PRAÇA;NÍDIO;DEFERIDO;DEM;LUISBURGO SEMPRE A FRENTE;ELEITO;2620;3138674;DIREITA;6258;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;68740;16611;2624;17419;29378;Manhuaçu;Zona da Mata
2020;1;M;MG;53619;TAPIRA;17;Prefeito;15;MAURA ASSUNÇÃO DE MELO PONTES;MAURA DO BARROSO;DEFERIDO;MDB;TAPIRA MERECE MAIS;ELEITO;2172;3168101;DIREITA;4832;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;455512;63242;222224;79636;43361;Araxá;Triângulo Mineiro/Alto Paranaíba
2020;1;M;MG;41793;BRUMADINHO;52;Prefeito;43;AVIMAR DE MELO BARCELOS;NENEN DA ASA;DEFERIDO;PV;QUEM TEM UNIÃO TEM FORÇA, BRUMADINHO;ELEITO;12683;3109006;CENTRO;40666;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pv.png;2516233;22008;1041129;982042;255486;Belo Horizonte;Metropolitana de Belo Horizonte
2020;1;M;MG;40541;PEDRAS DE MARIA DA CRUZ;148;Prefeito;11;RODRIGO ALEXANDRE FERNANDES;RODRIGO FERNANDES;DEFERIDO;PP;COLIGAÇÃO JUNTOS PELO PROGRESSO;ELEITO;2875;3149150;DIREITA;12212;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;92014;10445;3493;23614;51265;Januária;Norte de Minas
2020;1;M;MG;42269;JAPONVAR;50;Prefeito;90;WELSON GONÇALVES DA SILVA;WELSON DO POSTO;DEFERIDO;PROS;DO POVO PARA O POVO;ELEITO;3746;3135357;DIREITA;7982;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pros.png;67728;4124;2667;21584;36374;Montes Claros;Norte de Minas
2020;1;M;MG;41033;BANDEIRA;9;Prefeito;10;SIDNEI ALVES DOS SANTOS;SIDNEI;DEFERIDO;REPUBLICANOS;BANDEIRA VAI SEGUIR AVANÇANDO;ELEITO;1858;3105202;CENTRO DIREITA;4766;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/republicanos.png;47930;7229;2254;12658;24013;Almenara;Jequitinhonha
2020;1;M;MG;44431;DIVINOLÂNDIA DE MINAS;283;Prefeito;11;RODRIGO MAGALHÃES COELHO;RODRIGO;DEFERIDO;PP;A FORÇA DO TRABALHO E DO POVO;ELEITO;1825;3122207;DIREITA;7614;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;69060;8616;1866;22855;32902;Guanhães;Vale do Rio Doce
2020;1;M;MG;46434;ITAGUARA;81;Prefeito;45;GERALDO DONIZETE DE LIMA;DONIZETE CHUMBINHO;DEFERIDO;PSDB;ITAGUARA PARA TODOS;ELEITO;6386;3132206;DIREITA;13435;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;310006;15687;52862;150153;60409;Itaguara;Metropolitana de Belo Horizonte
2020;1;M;MG;45357;FREI GASPAR;269;Prefeito;13;EDSON ALVES DOS SANTOS;EDSON ALVES;DEFERIDO;PT;TODOS POR FREI GASPAR;ELEITO;2037;3126802;ESQUERDA;5869;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pt.png;59778;10847;2538;15406;28701;Teófilo Otoni;Vale do Mucuri
2020;1;M;MG;47899;MANHUMIRIM;168;Prefeito;10;SÉRGIO BOREL CORRÊA;SERGINHO BOREL;DEFERIDO;REPUBLICANOS;UNIDOS POR MANHUMIRIM;ELEITO;4153;3139508;CENTRO DIREITA;22802;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/republicanos.png;417308;9350;13073;248472;98816;Manhuaçu;Zona da Mata
2020;1;M;MG;45470;GONÇALVES;205;Prefeito;23;MARCIO DONIZETTI DE OLIVEIRA;MÁRCIO DO ZEZÉ;DEFERIDO;CIDADANIA;CIDADANIA/MDB/PSDB;ELEITO;1747;3127404;CENTRO;4355;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/cidadania.png;69451;7305;5498;29748;22402;Pouso Alegre;Sul/Sudoeste de Minas
2020;1;M;MG;53279;SERITINGA;6;Prefeito;25;MARCO ANTONIO MANSUR MOREIRA;MARQUINHO;DEFERIDO;DEM;UNIDOS POR SERITINGA;ELEITO;934;3166402;DIREITA;1854;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;40055;8272;3222;12953;13369;Andrelândia;Sul/Sudoeste de Minas
2020;1;M;MG;44636;DORES DO INDAIÁ;104;Prefeito;55;ALEXANDRO COÊLHO FERREIRA;ALEX;DEFERIDO;PSD;POR UMA GESTÃO INOVADORA;ELEITO;3994;3123205;CENTRO ESQUERDA;13427;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;253448;25112;28069;120942;60351;Bom Despacho;Central Mineira
2020;1;M;MG;43958;CÓRREGO DANTA;163;Prefeito;23;EDNEI MARTINS DE MATOS;EDNEI;DEFERIDO;CIDADANIA;JUNTOS FAREMOS MAIS;ELEITO;1421;3119807;CENTRO;3191;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/cidadania.png;154154;22702;6412;86956;18646;Piuí;Oeste de Minas
2020;1;M;MG;41548;SÃO DOMINGOS DAS DORES;128;Prefeito;25;JOSE ADAIR DA SILVA;ZE ADAIR;DEFERIDO;DEM;O TRABALHO VAI CONTINUAR;ELEITO;1994;3160959;DIREITA;5658;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;67270;4510;2439;26537;27829;Caratinga;Vale do Rio Doce
2020;1;M;MG;43010;CÁSSIA;78;Prefeito;11;RÊMULO CARVALHO PINTO;REMINHO;DEFERIDO;PP;TRABALHO E PÉ NO CHÃO;ELEITO;4846;3115102;DIREITA;17740;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;337388;39171;20200;167542;81506;Passos;Sul/Sudoeste de Minas
2020;1;M;MG;45454;GALILÉIA;117;Prefeito;45;JUAREZ DA SILVA LIMA;JUJUBA;DEFERIDO;PSDB;GALILÉIA PRECISA CONTINUAR SENDO MELHOR;ELEITO;2093;3127305;DIREITA;6790;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;97770;9939;13510;36401;32857;Governador Valadares;Vale do Rio Doce
2020;1;M;MG;44350;DIONÍSIO;251;Prefeito;15;FRANCISCO CASTRO SOUZA FILHO;NANDO DE CHIQUITO TRAJANO;DEFERIDO;MDB;DIONÍSIO FORTE E FELIZ SEMPRE;ELEITO;3165;3121803;DIREITA;7609;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;78480;13207;5360;25023;32426;Itabira;Metropolitana de Belo Horizonte
2020;1;M;MG;44318;DIAMANTINA;101;Prefeito;25;JUSCELINO BRASILIANO ROQUE;JUSCELINO ROQUE;DEFERIDO;DEM;DIAMANTINA NÃO PODE PARAR;ELEITO;19139;3121605;DIREITA;47825;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;838445;23392;60637;489791;202396;Diamantina;Jequitinhonha
2020;1;M;MG;54135;VARGINHA;281;Prefeito;70;VERDI LUCIO MELO;VERDI;DEFERIDO;AVANTE;VARGINHA SEGUE EM FRENTE;ELEITO;36518;3170701;CENTRO DIREITA;136602;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/avante.png;6297672;26688;1181733;3287281;606124;Varginha;Sul/Sudoeste de Minas
2020;1;M;MG;45390;FRONTEIRA;116;Prefeito;45;SÉRGIO PAULO CAMPOS;SÉRGIO COXA;DEFERIDO;PSDB;FRONTEIRA PARA TODOS ;ELEITO;3926;3127008;DIREITA;18492;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;1192969;7944;946712;114416;106944;Frutal;Triângulo Mineiro/Alto Paranaíba
2020;1;M;MG;46299;IPUIÚNA;345;Prefeito;22;ELDER CASSIO DE SOUZA OLIVA;ELDER;DEFERIDO;PL;UNIDOS PELA VOLTA DO PROGRESSO;ELEITO;3137;3131505;DIREITA;10118;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pl.png;164990;19431;10358;78418;43965;Pouso Alegre;Sul/Sudoeste de Minas
2020;1;M;MG;43311;CLÁUDIO;81;Prefeito;40;REGINALDO DE FREITAS SANTOS;REGINALDO FREITAS;DEFERIDO;PSB;CIDADE CARINHO;ELEITO;8596;3116605;DIREITA;28859;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psb.png;782357;30482;191878;327665;121848;Divinópolis;Oeste de Minas
2020;1;M;MG;53058;SÃO VICENTE DE MINAS;346;Prefeito;15;JACINTO ALAIR DE PAULA;LILI DO GÁS;DEFERIDO;MDB;GENTE QUE CUIDA DA GENTE;ELEITO;2480;3165305;DIREITA;7815;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;165751;29670;23732;61146;34932;Andrelândia;Sul/Sudoeste de Minas
2020;1;M;MG;40029;ARAPORÃ;179;Prefeito;11;RENATA CRISTINA SILVA BORGES;RENATA BORGES;DEFERIDO;PP;PREPARANDO ARAPORÃ PARA O FUTURO;ELEITO;3470;3103751;DIREITA;6931;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pp.png;1376751;36822;1034484;199290;55786;Uberlândia;Triângulo Mineiro/Alto Paranaíba
2020;1;M;MG;41742;BONITO DE MINAS;148;Prefeito;70;VANIA CARNEIRO DE CARVALHO;VÂNIA CARNEIRO;DEFERIDO;AVANTE;AVANTE BONITO: A MUDANÇA É AGORA;ELEITO;3068;3108255;CENTRO DIREITA;11369;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/avante.png;80911;7147;2454;20804;47365;Januária;Norte de Minas
